B_index,B_id,Latitude,Longitude,Media,B_Size,B_Cost,Influence,Influenced_Users,Influence_per_timestep
81,653,40.818089,-73.960708,Poster,606,10180.178799924033,15234.767857145342,1083,10.579699900795376
82,675,40.818089,-73.960708,Poster,82,1502.0888841761257,2061.470238095746,1083,1.4315765542331569
83,678,40.818089,-73.960708,Poster,540,8655.948209824412,13575.535714281374,1083,9.427455357139843
84,679,40.818089,-73.960708,Poster,558,10463.494205227507,14028.053571425891,1083,9.741703869045757
85,691,40.818089,-73.960708,Poster,622,10122.462130789878,15637.005952383406,1083,10.859031911377365
86,692,40.818089,-73.960708,Poster,323,6113.256239877533,8120.1815476170295,1083,5.639014963622937
87,706,40.818089,-73.960708,Poster,670,12037.774724211722,16843.72023808805,1083,11.697027943116703
88,721,40.818089,-73.960708,Poster,223,4080.6987246910207,5606.193452382563,1083,3.893189897487891
89,722,40.818089,-73.960708,Poster,402,6886.753651321741,10106.232142857853,1083,7.018216765873508
90,725,40.818089,-73.960708,Poster,184,3118.5382594343114,4625.738095238621,1083,3.212318121693487
91,752,40.818089,-73.960708,Poster,165,2815.2372357954973,4148.080357143496,1083,2.880611359127428
92,753,40.818089,-73.960708,Poster,434,7751.757616407702,10910.708333334347,1083,7.576880787037741
93,754,40.818089,-73.960708,Poster,647,11958.218006735353,16265.502976191825,1083,11.29548817791099
94,756,40.818089,-73.960708,Poster,515,9549.595850565245,12947.0386904736,1083,8.990999090606667
95,757,40.818089,-73.960708,Poster,323,5824.273860812837,8120.1815476170295,1083,5.639014963622937
96,794,40.818089,-73.960708,Poster,617,10103.631528199667,15511.306547616598,1083,10.771740658067081
97,795,40.818089,-73.960708,Poster,617,11440.45493615268,15511.306547616598,1083,10.771740658067081
98,819,40.818089,-73.960708,Poster,287,5159.8642676601785,7215.1458333317005,1083,5.010517939813681
99,820,40.818089,-73.960708,Poster,279,4442.801759992719,7014.026785712946,1083,4.870851934522879
100,851,40.818089,-73.960708,Poster,370,6463.708124361654,9301.755952383086,1083,6.459552744710477
101,896,40.818089,-73.960708,Poster,154,2579.8166275203603,3871.5416666657316,1083,2.6885706018512026
102,897,40.818089,-73.960708,Poster,663,12644.659916966684,16667.741071426142,1083,11.574820188490376
103,916,40.818089,-73.960708,Poster,624,10773.515398658423,15687.285714280186,1083,10.893948412694574
104,948,40.818089,-73.960708,Poster,658,12117.735137319987,16542.041666662804,1083,11.487528935182503
105,968,40.818089,-73.960708,Poster,267,5015.049521884009,6712.348214287016,1083,4.661352926588206
106,969,40.83186,-73.94138,Poster,124,1016.3567922332775,1424.1547619049481,1083,0.9889963624339918
107,970,40.83186,-73.94138,Poster,539,4364.53130230808,6190.479166666185,1083,4.298943865740406
108,971,40.83186,-73.94138,Poster,357,2706.2287659375797,4100.1875,1083,2.8473524305555555
109,1010,40.83186,-73.94138,Poster,224,1642.0997002109082,2572.666666666719,1083,1.7865740740741103
110,1013,40.83186,-73.94138,Poster,541,4348.394699131384,6213.4494047614,1083,4.314895419973194
111,1019,40.83186,-73.94138,Poster,271,1997.1739675636102,3112.4672619050284,1083,2.1614355985451588
112,1035,40.83186,-73.94138,Poster,405,2939.558795285152,4651.473214285301,1083,3.23018973214257
113,1040,40.83186,-73.94138,Poster,579,4596.5397318316745,6649.88392857107,1083,4.617974950396577
114,1041,40.83186,-73.94138,Poster,670,5070.336502453137,7695.029761905068,1083,5.343770667989631
115,1043,40.83186,-73.94138,Poster,162,1375.9419160306747,1860.5892857139936,1083,1.29207589285694
116,1044,40.83186,-73.94138,Poster,248,2035.5496454160998,2848.3095238098963,1083,1.9779927248679836
117,1045,40.83186,-73.94138,Poster,294,2561.5035104212584,3376.625,1083,2.3448784722222222
118,1046,40.83186,-73.94138,Poster,319,2346.123406136633,3663.7529761900378,1083,2.5442729001319706
119,1047,40.83186,-73.94138,Poster,412,3224.5922634124145,4731.8690476196725,1083,3.286020171958106
120,1049,40.83186,-73.94138,Poster,334,2874.7275627191075,3836.029761905041,1083,2.663909556878501
121,1053,40.83186,-73.94138,Poster,317,2595.7756530396823,3640.782738094962,1083,2.528321345899279
122,1054,40.83186,-73.94138,Poster,499,3863.987591796424,5731.074404761583,1083,3.9799127810844324
123,1057,40.83186,-73.94138,Poster,267,2090.4231831293214,3066.5267857143954,1083,2.1295324900794412
124,1060,40.83186,-73.94138,Poster,538,4108.834505700294,6178.994047619839,1083,4.290968088624888
125,1072,40.83186,-73.94138,Poster,647,4692.963600037422,7430.872023810079,1083,5.160327794312555
126,1080,40.83186,-73.94138,Poster,381,2954.274342215686,4375.830357142737,1083,3.0387710813491227
127,1089,40.83186,-73.94138,Poster,530,4469.567212698212,6087.113095238555,1083,4.227161871693441
128,1094,40.83186,-73.94138,Poster,188,1493.1983256316194,2159.2023809525235,1083,1.499446097883697
129,1100,40.83186,-73.94138,Poster,424,3155.782771233021,4869.690476189981,1083,3.381729497354154
130,1102,40.83186,-73.94138,Poster,487,4033.357821633274,5593.252976189959,1083,3.884203455687471
131,1103,40.83186,-73.94138,Poster,253,2136.3507357495105,2905.73511904747,1083,2.017871610449632
132,1105,40.83186,-73.94138,Poster,495,3996.051787164372,5685.133928571349,1083,3.9480096726189924
133,1106,40.83186,-73.94138,Poster,107,868.0576074806902,1228.9077380950753,1083,0.8534081514549133
134,1107,40.83186,-73.94138,Poster,143,1182.635779425446,1642.3720238096794,1083,1.1405361276456107
135,1115,40.83186,-73.94138,Poster,294,2354.068716009107,3376.625,1083,2.3448784722222222
136,1116,40.83186,-73.94138,Poster,523,4014.7832882398243,6006.717261905061,1083,4.171331431878515
137,1118,40.83186,-73.94138,Poster,417,3362.3728254847783,4789.294642856993,1083,3.3258990575395786
138,1119,40.83186,-73.94138,Poster,499,4061.7733600395145,5731.074404761583,1083,3.9799127810844324
139,1120,40.83186,-73.94138,Poster,209,1566.9980384693959,2400.389880952526,1083,1.6669374173281428
140,1121,40.76525,-73.99509,Poster,436,564.7682192244038,895.3571428571361,771,0.6217757936507889
141,1122,40.76525,-73.99509,Poster,84,124.75965614353213,172.5,771,0.11979166666666667
142,1123,40.76525,-73.99509,Poster,341,521.2613695787845,700.2678571428637,771,0.4862971230158776
143,1130,40.76525,-73.99509,Poster,621,932.1868772230675,1275.2678571428364,771,0.8856026785714142
144,1136,40.76525,-73.99509,Poster,366,513.9406383979054,751.607142857147,771,0.5219494047619077
145,1140,40.76525,-73.99509,Poster,381,501.05889157939697,782.4107142857326,771,0.5433407738095366
146,1143,40.74737,-73.94792,Poster,286,72.50704025619352,112.35714285714332,185,0.07802579365079397
147,1144,40.7514,-73.9153,Poster,87,591.5290082636401,827.7946428572403,1075,0.5748573908730835
148,1146,40.7514,-73.9153,Poster,127,904.667602578782,1208.3898809522786,1075,0.8391596395501935
149,1147,40.7514,-73.9153,Poster,161,961.6619126676553,1531.8958333332375,1075,1.0638165509258595
150,1148,40.7514,-73.9153,Poster,384,2437.6261756908516,3653.7142857140757,1075,2.5373015873014415
151,1149,40.7514,-73.9153,Poster,174,1260.8996123412144,1655.5892857144806,1075,1.149714781746167
152,1150,40.7514,-73.9153,Poster,563,4061.429729320982,5356.877976190899,1075,3.720054150132569
153,1159,40.7514,-73.9153,Poster,578,3450.3090687938784,5499.601190477036,1075,3.8191674933868303
154,1165,40.7514,-73.9153,Poster,345,2237.6831410852456,3282.6339285710465,1075,2.2796068948410046
155,1196,40.7514,-73.9153,Poster,191,1226.2542601397213,1817.3422619045812,1075,1.262043237433737
156,1197,40.7514,-73.9153,Poster,326,2351.7380932997,3101.8511904766187,1075,2.154063326719874
157,1214,40.7514,-73.9153,Poster,515,3558.1544254303926,4900.163690476969,1075,3.4028914517201176
158,1222,40.7514,-73.9153,Poster,97,641.0562915090792,922.9434523808071,1075,0.6409329530422272
159,1228,40.7514,-73.9153,Poster,434,2761.763637428178,4129.458333333702,1075,2.8676793981484043
160,1229,40.7514,-73.9153,Poster,326,2151.7395995018746,3101.8511904766187,1075,2.154063326719874
161,1231,40.7514,-73.9153,Poster,175,1083.4532847371918,1665.1041666667936,1075,1.1563223379630512
162,1232,40.7514,-73.9153,Poster,328,2244.625983442364,3120.8809523811656,1075,2.1672784391535873
163,1233,40.7514,-73.9153,Poster,312,2232.7045103953405,2968.6428571430815,1075,2.0615575396826955
164,1234,40.7514,-73.9153,Poster,557,3940.4824849325905,5299.788690477015,1075,3.6804088128312604
165,1235,40.7514,-73.9153,Poster,630,4039.0621864500627,5994.375,1075,4.162760416666667
166,1237,40.7514,-73.9153,Poster,229,1536.8516395961296,2178.907738095435,1075,1.5131303736773853
167,1302,40.7514,-73.9153,Poster,109,785.0130405262306,1037.122023809643,1075,0.7202236276455855
168,1303,40.7514,-73.9153,Poster,171,1123.1576248027022,1627.044642857076,1075,1.1298921130951918
169,1304,40.7514,-73.9153,Poster,419,2680.6208360281694,3986.7351190477466,1075,2.7685660548942685
170,1305,40.7514,-73.9153,Poster,104,682.2299977856189,989.5476190477134,1075,0.6871858465609121
171,1307,40.7514,-73.9153,Poster,541,3890.713090595815,5147.550595238049,1075,3.574687913359756
172,1308,40.7514,-73.9153,Poster,129,816.3058984631831,1227.4196428571895,1075,0.8523747519841594
173,1309,40.7514,-73.9153,Poster,230,1603.7291218733592,2188.4226190477375,1075,1.5197379298942622
174,1310,40.7514,-73.9153,Poster,342,2408.0361473413973,3254.089285714152,1075,2.2597842261903835
175,1326,40.74275926,-73.95183923,Poster,528,3974.999176941115,5317.714285714666,1079,3.6928571428574073
176,1327,40.74275926,-73.95183923,Poster,458,3474.708350753984,4612.714285714712,1079,3.2032738095241053
177,1328,40.74275926,-73.95183923,Poster,454,3237.668154229595,4572.428571429097,1079,3.175297619047984
178,1329,40.74275926,-73.95183923,Poster,183,1213.8340813157392,1843.0714285711763,1079,1.279910714285539
179,1330,40.74275926,-73.95183923,Poster,517,3859.090775024935,5206.928571429176,1079,3.6159226190480394
180,1331,40.74275926,-73.95183923,Poster,364,2730.393659962707,3665.9999999996617,1079,2.5458333333330985
181,1332,40.74275926,-73.95183923,Poster,320,2238.5823331376614,3222.857142856654,1079,2.2380952380948984
182,1333,40.74275926,-73.95183923,Poster,106,777.077313309918,1067.5714285713254,1079,0.741369047618976
183,1348,40.74275926,-73.95183923,Poster,293,2227.1854828712535,2950.928571428702,1079,2.049255952381043
184,1349,40.74275926,-73.95183923,Poster,169,1132.9230963104933,1702.0714285713093,1079,1.1819940476189648
185,1350,40.74275926,-73.95183923,Poster,181,1277.3898039209184,1822.9285714283128,1079,1.2659226190474395
186,1351,40.74275926,-73.95183923,Poster,549,3942.759431067728,5529.214285714753,1079,3.8397321428574673
187,1352,40.74275926,-73.95183923,Poster,120,765.1803900413968,1208.57142857139,1079,0.8392857142856875
188,1353,40.74275926,-73.95183923,Poster,471,3122.4644859358136,4743.642857142591,1079,3.294196428571244
189,1354,40.74275926,-73.95183923,Poster,213,1501.1246178743295,2145.214285714126,1079,1.489732142857032
190,1355,40.74275926,-73.95183923,Poster,515,3726.3220584028295,5186.785714286574,1079,3.601934523810121
191,1538,40.74275926,-73.95183923,Poster,449,3352.448222233552,4522.07142857091,1079,3.1403273809520207
192,1539,40.74275926,-73.95183923,Poster,659,4710.491474064359,6637.071428570702,1079,4.609077380951876
193,1540,40.74275926,-73.95183923,Poster,81,512.2869416642927,815.7857142856145,1079,0.5665178571427879
194,1547,40.74275926,-73.95183923,Poster,287,2100.406499335079,2890.5000000001537,1079,2.0072916666667733
195,1550,40.74275926,-73.95183923,Poster,225,1642.475809369017,2266.0714285712484,1079,1.5736607142855892
196,1560,40.74275926,-73.95183923,Poster,289,1841.1706724184164,2910.6428571433203,1079,2.0212797619050837
197,1563,40.74275926,-73.95183923,Poster,461,3314.2545881888964,4642.928571428345,1079,3.224255952380795
198,1568,40.74275926,-73.95183923,Poster,592,4204.149992495876,5962.285714285253,1079,4.14047619047587
199,1572,40.74275926,-73.95183923,Poster,207,1460.729197123156,2084.785714285866,1079,1.4477678571429626
200,1573,40.74275926,-73.95183923,Poster,379,2906.4261130615346,3817.0714285712943,1079,2.6507440476189545
201,1574,40.74275926,-73.95183923,Poster,131,977.5413898167815,1319.3571428570049,1079,0.9162202380951423
202,1575,40.74275926,-73.95183923,Poster,560,3556.8567749786807,5639.999999999736,1079,3.9166666666664836
203,1576,40.74275926,-73.95183923,Poster,337,2465.485606021858,3394.0714285712957,1079,2.3569940476189553
204,1615,40.74275926,-73.95183923,Poster,80,523.171423537649,805.7142857141635,1079,0.5595238095237246
205,1617,40.755411,-73.912092,Poster,374,1171.4720933774547,1536.6279761905193,1005,1.0671027612434163
206,1621,40.755411,-73.912092,Poster,220,675.0264985602462,903.8988095238342,1005,0.6277075066137737
207,1624,40.755411,-73.912092,Poster,476,1287.518975703346,1955.7083333332555,1005,1.358130787036983
208,1631,40.755411,-73.912092,Poster,108,285.36266796599824,443.7321428571291,1005,0.3081473214285619
209,1632,40.755411,-73.912092,Poster,585,1644.705760107533,2403.5491071429346,1005,1.6691313244048158
210,1633,40.755411,-73.912092,Poster,360,943.8555066023162,1479.107142857129,1005,1.0271577380952286
211,1635,40.755411,-73.912092,Poster,321,990.0789081953682,1318.8705357143226,1005,0.9158823164682796
212,1636,40.755411,-73.912092,Poster,151,396.7637401985785,620.4032738095663,1005,0.4308356068121988
213,1639,40.755411,-73.912092,Poster,252,696.8721534543185,1035.375,1005,0.7190104166666667
214,1641,40.755411,-73.912092,Poster,562,1462.668840794348,2309.0505952382555,1005,1.6035073578043442
215,1642,40.755411,-73.912092,Poster,204,587.0574366072093,838.1607142857408,1005,0.58205605158732
216,1643,40.755411,-73.912092,Poster,497,1408.7229883933965,2041.98958333325,1005,1.4180483217592015
217,1644,40.74201,-73.91488,Poster,202,1237.0046540186947,1878.7202380949961,1080,1.304666832010414
218,1645,40.74201,-73.91488,Poster,140,975.9445675885883,1302.0833333333067,1080,0.9042245370370185
219,1646,40.74201,-73.91488,Poster,141,859.0635711281061,1311.383928571348,1080,0.9106832837301028
220,1649,40.74201,-73.91488,Poster,460,2893.4818908957113,4278.27380952404,1080,2.971023478836139
221,1650,40.74201,-73.91488,Poster,175,1236.1747526029196,1627.6041666667827,1080,1.1302806712963769
222,1653,40.74287,-73.91571,Poster,114,735.2933778421426,1064.000000000073,1081,0.7388888888889396
223,1654,40.74287,-73.91571,Poster,191,1303.9813101945022,1782.6666666664912,1081,1.237962962962841
224,1657,40.74287,-73.91571,Poster,600,3779.724248653202,5599.99999999996,1081,3.8888888888888613
225,1658,40.74287,-73.91571,Poster,496,3023.043100543957,4629.333333333828,1081,3.214814814815158
226,1659,40.74287,-73.91571,Poster,251,1498.2051864306466,2342.666666666784,1081,1.6268518518519333
227,1667,40.74287,-73.91571,Poster,90,526.2076399172302,839.9999999999395,1081,0.5833333333332913
228,1668,40.74287,-73.91571,Poster,623,4362.245069714982,5814.666666666372,1081,4.037962962962759
229,1669,40.74287,-73.91571,Poster,391,2575.79068960452,3649.3333333336695,1081,2.5342592592594926
230,1670,40.74287,-73.91571,Poster,207,1215.313680759176,1932.0000000001196,1081,1.3416666666667498
231,1688,40.74287,-73.91571,Poster,146,975.1012063613392,1362.6666666667709,1081,0.9462962962963687
232,1689,40.74287,-73.91571,Poster,282,1995.7340125521514,2631.9999999998345,1081,1.827777777777663
233,1705,40.74287,-73.91571,Poster,492,2906.2446978400008,4591.999999999692,1081,3.1888888888886746
234,1706,40.74287,-73.91571,Poster,180,1242.3456668802464,1679.999999999879,1081,1.1666666666665826
235,1707,40.74287,-73.91571,Poster,610,3575.167031850682,5693.333333334005,1081,3.9537037037041705
236,1708,40.74287,-73.91571,Poster,208,1286.2740503184532,1941.3333333335167,1081,1.3481481481482755
237,1728,40.74287,-73.91571,Poster,276,1937.3857893144782,2575.9999999998086,1081,1.788888888888756
238,1729,40.74287,-73.91571,Poster,387,2648.485833614236,3611.9999999995475,1081,2.5083333333330193
239,1734,40.74287,-73.91571,Poster,477,3212.4593994753172,4452.000000000315,1081,3.0916666666668853
240,1735,40.74287,-73.91571,Poster,190,1334.9928036098395,1773.3333333332216,1081,1.231481481481404
241,1739,40.74287,-73.91571,Poster,246,1535.9367099906885,2295.999999999846,1081,1.5944444444443373
242,1740,40.74287,-73.91571,Poster,215,1318.948436112237,2006.66666666635,1081,1.3935185185182986
243,1741,40.74287,-73.91571,Poster,107,634.5150707670209,998.6666666665665,1081,0.6935185185184489
244,1742,40.74287,-73.91571,Poster,477,2844.7747713578306,4452.000000000315,1081,3.0916666666668853
245,1743,40.74591,-73.93307,Poster,355,920.8278106141429,1448.5267857143529,1008,1.0059213789683006
246,1746,40.74591,-73.93307,Poster,502,1372.8209441767153,2048.3392857143676,1008,1.422457837301644
247,1747,40.74591,-73.93307,Poster,272,786.339147602584,1109.8571428571854,1008,0.7707341269841566
248,1758,40.74591,-73.93307,Poster,660,1685.1480353103432,2693.0357142856315,1008,1.870163690476133
249,1759,40.74591,-73.93307,Poster,577,1797.3258487506023,2354.366071428518,1008,1.6349764384920262
250,1760,40.74591,-73.93307,Poster,144,427.91706606966767,587.5714285714243,1008,0.40803571428571134
251,1761,40.74591,-73.93307,Poster,646,1708.7210976296774,2635.91071428589,1008,1.8304935515874237
252,1762,40.74591,-73.93307,Poster,199,565.9054393893339,811.9910714285953,1008,0.5638826884920801
253,1763,40.74591,-73.93307,Poster,209,598.6617079274142,852.7946428571803,1008,0.5922185019841529
254,1764,40.74591,-73.93307,Poster,641,1657.580682715316,2615.5089285715358,1008,1.8163256448413443
255,1765,40.74591,-73.93307,Poster,410,1251.6360141915488,1672.9464285714018,1008,1.1617683531745846
256,1786,40.74591,-73.93307,Poster,526,1546.9869565871543,2146.267857142807,1008,1.4904637896825048
257,1787,40.74456,-73.93622,Poster,189,2043.193467468515,3157.875,1083,2.19296875
258,1788,40.74456,-73.93622,Poster,207,2575.12017901397,3458.6250000004416,1083,2.401822916666973
259,1789,40.74456,-73.93622,Poster,174,1902.7959654650685,2907.2499999999113,1083,2.0189236111110493
260,1790,40.74456,-73.93622,Poster,400,4391.986771530018,6683.333333335078,1083,4.641203703704916
261,1791,40.74456,-73.93622,Poster,555,6212.102485758565,9273.125000001199,1083,6.4396701388897215
262,1792,40.74456,-73.93622,Poster,287,3315.022321086141,4795.291666666752,1083,3.3300636574074662
263,1811,40.74456,-73.93622,Poster,640,8038.375371189016,10693.333333333778,1083,7.425925925926235
264,1812,40.74456,-73.93622,Poster,635,6710.693617593839,10609.791666668709,1083,7.367910879631048
265,1813,40.74456,-73.93622,Poster,613,7139.958780426314,10242.20833333248,1083,7.112644675925334
266,1814,40.74456,-73.93622,Poster,559,6800.845330947269,9339.958333334753,1083,6.486082175926912
267,1815,40.74456,-73.93622,Poster,209,2516.3922335052202,3492.0416666668875,1083,2.4250289351853387
268,1816,40.74456,-73.93622,Poster,457,5033.599151843826,7635.7083333320115,1083,5.302575231480564
269,1817,40.74456,-73.93622,Poster,531,5726.4877919075,8872.124999999773,1083,6.1611979166665085
270,1818,40.74456,-73.93622,Poster,467,5099.074358623685,7802.791666668043,1083,5.41860532407503
271,1819,40.74456,-73.93622,Poster,664,7768.422707709755,11094.333333334836,1083,7.704398148149192
272,1820,40.74456,-73.93622,Poster,531,6382.99458708127,8872.124999999773,1083,6.1611979166665085
273,1821,40.74456,-73.93622,Poster,84,947.0905879088414,1403.5,1083,0.9746527777777778
274,2000,40.74456,-73.93622,Poster,288,3074.7841034686467,4812.000000000631,1083,3.341666666667105
275,2501,40.74456,-73.93622,Poster,320,3900.3099889048235,5346.666666666889,1083,3.7129629629631173
276,2502,40.74456,-73.93622,Poster,155,1818.0852078425078,2589.7916666666147,1083,1.7984664351851491
277,2510,40.74456,-73.93622,Poster,252,2837.0545190349526,4210.5,1083,2.923958333333333
278,2527,40.74456,-73.93622,Poster,480,5537.105615918686,8019.999999998107,1083,5.56944444444313
